STATE,STATEFP,PLACEFP,PLACE_FIPS,PLACENS,PLACENAME,TYPE,CLASSFP,FUNCSTAT,COUNTIES
CA,06,00212,0600212,2407697,Acton,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,00394,0600394,2409666,Agoura Hills,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,00450,0600450,2582928,Agua Dulce,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,00884,0600884,2409681,Alhambra,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,01150,0601150,2407724,Alondra Park,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,01290,0601290,2407732,Altadena,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,02462,0602462,2409722,Arcadia,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,02896,0602896,2409735,Artesia,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,03274,0603274,2409763,Avalon,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,03344,0603344,2407785,Avocado Heights,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,03386,0603386,2409768,Azusa,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,03666,0603666,2409777,Baldwin Park,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,04870,0604870,2409816,Bell,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,04982,0604982,2409822,Bellflower,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,04996,0604996,2409817,Bell Gardens,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,06308,0606308,2409840,Beverly Hills,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,07946,0607946,2409891,Bradbury,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,08954,0608954,2409939,Burbank,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,09598,0609598,2409955,Calabasas,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,11530,0611530,2409399,Carson,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,11796,0611796,2582966,Castaic,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,12552,0612552,2409431,Cerritos,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,12734,0612734,2408014,Charter Oak,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,13560,0613560,2407624,Citrus,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,13756,0613756,2409465,Claremont,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,14974,0614974,2410209,Commerce,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,15044,0615044,2410213,Compton,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,16742,0616742,2410251,Covina,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,17498,0617498,2410272,Cudahy,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,17568,0617568,2410276,Culver City,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,18352,0618352,2408648,Del Aire,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,19052,0619052,2408666,Desert View Highlands,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,19192,0619192,2410334,Diamond Bar,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,19766,0619766,2410352,Downey,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,19990,0619990,2410361,Duarte,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,20802,0620802,2408711,East Los Angeles,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,20984,0620984,2408716,East Pasadena,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,21034,0621034,2408704,East Rancho Dominguez,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,21096,0621096,2408037,East San Gabriel,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,21292,0621292,2408710,East Whittier,CENSUS DESIGNATED PLACE,U2,S,Los Angeles County
CA,06,21964,0621964,2583006,Elizabeth Lake,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,22230,0622230,2410413,El Monte,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,22412,0622412,2410417,El Segundo,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,24477,0624477,2408218,Florence-Graham,CENSUS DESIGNATED PLACE,U2,S,Los Angeles County
CA,06,28168,0628168,2410570,Gardena,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,30000,0630000,2410597,Glendale,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,30014,0630014,2410601,Glendora,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,31092,0631092,2583029,Green Valley,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,31596,0631596,2408344,Hacienda Heights,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,32385,0632385,2583032,Hasley Canyon,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,32506,0632506,2410716,Hawaiian Gardens,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,32548,0632548,2410720,Hawthorne,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,33364,0633364,2410749,Hermosa Beach,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,33518,0633518,2410756,Hidden Hills,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,36056,0636056,2410079,Huntington Park,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,36490,0636490,2410102,Industry,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,36546,0636546,2410106,Inglewood,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,36826,0636826,2410119,Irwindale,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,39003,0639003,2411565,La Cañada Flintridge,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,39045,0639045,2408503,La Crescenta-Montrose,CENSUS DESIGNATED PLACE,U2,S,Los Angeles County
CA,06,39108,0639108,2408521,Ladera Heights,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,39304,0639304,2411572,La Habra Heights,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,39556,0639556,2583050,Lake Hughes,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,39612,0639612,2408541,Lake Los Angeles,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,39892,0639892,2411613,Lakewood,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,40032,0640032,2411577,La Mirada,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,40130,0640130,2411620,Lancaster,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,40340,0640340,2411581,La Puente,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,40830,0640830,2411584,La Verne,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,40886,0640886,2411637,Lawndale,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,41180,0641180,2408600,Lennox,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,41208,0641208,2583056,Leona Valley,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,41880,0641880,2408620,Littlerock,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,42468,0642468,2410859,Lomita,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,43000,0643000,2410866,Long Beach,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,44000,0644000,2410877,Los Angeles,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,44574,0644574,2410901,Lynwood,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,45246,0645246,2410913,Malibu,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,45400,0645400,2411020,Manhattan Beach,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,45806,0645806,2408179,Marina del Rey,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,46436,0646436,2408192,Mayflower Village,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,46492,0646492,2411054,Maywood,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,48648,0648648,2411138,Monrovia,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,48816,0648816,2411144,Montebello,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,48914,0648914,2411146,Monterey Park,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,51820,0651820,2408938,North El Monte,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,52526,0652526,2411281,Norwalk,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,55156,0655156,2411359,Palmdale,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,55380,0655380,2411363,Palos Verdes Estates,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,55618,0655618,2411369,Paramount,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,56000,0656000,2411379,Pasadena,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,56598,0656598,2805260,Pepperdine University,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,56924,0656924,2411417,Pico Rivera,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,58072,0658072,2411454,Pomona,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,59052,0659052,2409114,Quartz Hill,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,59514,0659514,2411516,Rancho Palos Verdes,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,60018,0660018,2411535,Redondo Beach,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,62602,0662602,2410986,Rolling Hills,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,62644,0662644,2410987,Rolling Hills Estates,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,62860,0662860,2583098,Rose Hills,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,62896,0662896,2410998,Rosemead,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,63218,0663218,2409220,Rowland Heights,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,66070,0666070,2411784,San Dimas,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,66140,0666140,2411785,San Fernando,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,67042,0667042,2411787,San Gabriel,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,68224,0668224,2411799,San Marino,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,68308,0668308,2629291,San Pasqual,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,69088,0669088,2411819,Santa Clarita,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,69154,0669154,2411823,Santa Fe Springs,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,70000,0670000,2411825,Santa Monica,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,71806,0671806,2411897,Sierra Madre,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,71876,0671876,2411899,Signal Hill,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,72996,0672996,2411934,South El Monte,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,73080,0673080,2411935,South Gate,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,73167,0673167,2629294,South Monrovia Island,CENSUS DESIGNATED PLACE,U2,S,Los Angeles County
CA,06,73220,0673220,2411940,South Pasadena,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,73276,0673276,2408771,South San Gabriel,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,73290,0673290,2408772,South San Jose Hills,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,73430,0673430,2408778,South Whittier,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,74130,0674130,2583151,Stevenson Ranch,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,77308,0677308,2583157,Sun Village,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,78148,0678148,2412047,Temple City,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,78960,0678960,2583164,Topanga,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,80000,0680000,2412087,Torrance,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,81638,0681638,2409392,Valinda,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,81967,0681967,2409388,Val Verde,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,82422,0682422,2412150,Vernon,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,82667,0682667,2409512,View Park-Windsor Hills,CENSUS DESIGNATED PLACE,U2,S,Los Angeles County
CA,06,82815,0682815,2409516,Vincent,CENSUS DESIGNATED PLACE,U2,S,Los Angeles County
CA,06,83332,0683332,2412173,Walnut,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,83402,0683402,2409528,Walnut Park,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,84116,0684116,2409544,West Athens,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,84144,0684144,2409546,West Carson,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,84200,0684200,2412219,West Covina,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,84410,0684410,2412221,West Hollywood,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,84438,0684438,2412235,Westlake Village,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,84592,0684592,2409575,Westmont,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,84774,0684774,2409564,West Puente Valley,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,84780,0684780,2409548,West Rancho Dominguez,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,84921,0684921,2409570,West Whittier-Los Nietos,CENSUS DESIGNATED PLACE,U2,S,Los Angeles County
CA,06,85292,0685292,2412260,Whittier,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,85614,0685614,2409601,Willowbrook,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
